primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
The Haunted House	The Haunted House	0	1899	\N	\N	Comedy,Fantasy,Horror
A Turn of the Century Illusionist	L'impressionniste fin de siècle	0	1899	\N	1	Fantasy,Short
King John	King John	0	1899	\N	5	Drama,Short
A Kiss in the Tunnel	The Kiss in the Tunnel	0	1899	\N	1	Comedy,Romance,Short
The Legacy	The Legacy	0	1899	\N	\N	Short
Llegada del vapor Bellver a Mallorca	Llegada del vapor Bellver a Mallorca	0	1899	\N	3	Documentary,Short
Matches: An Appeal	Matches: An Appeal	0	1899	\N	\N	Animation,Short
La mauvaise soupe	La mauvaise soupe	0	1899	\N	\N	Comedy,Short
The Miser's Doom	The Miser's Doom	0	1899	\N	\N	Horror,Short
Monnaie de lapin	Monnaie de lapin	0	1899	\N	\N	Comedy,Short
Mésaventure d'un charbonnier	Mésaventure d'un charbonnier	0	1899	\N	\N	Comedy,Short
Panorama from the Tower of the Brooklyn Bridge	Panorama from the Tower of the Brooklyn Bridge	0	1899	\N	\N	Documentary,Short
La résurrection	La résurrection	0	1899	\N	\N	Short
Le tondeur de chiens	Le tondeur de chiens	0	1899	\N	\N	Comedy,Short
Le tonnelier	Le tonnelier	0	1899	\N	\N	Comedy,Short
Transformations	Transformations	0	1899	\N	\N	Comedy,Short
A Midnight Episode	Un bon lit	0	1899	\N	1	Comedy,Horror,Short
Un lunch	Un lunch	0	1899	\N	\N	Comedy,Short
Vista de la entrada principal de la plaza de toros de Jerez, el segundo día de feria	Vista de la entrada principal de la plaza de toros de Jerez, el segundo día de feria	0	1899	\N	rt
Summoning the Spirits	Évocation spirite	0	1899	\N	1	Fantasy,Horror,Short
Above the Limit	Above the Limit	0	1900	\N	\N	Comedy,Short
Above the Speedway	Above the Speedway	0	1900	\N	\N	Documentary,Short
L'angélus	L'angélus	0	1900	\N	\N	Short
L'arléquine	L'arléquine	0	1900	\N	\N	Short
Army Life; or, How Soldiers Are Made: Mounted Infantry	Army Life	0	1900	\N	\N	Documentary,Short
Arrivée d'Arléquin	Arrivée d'Arléquin	0	1900	\N	\N	Short
Arrivée de Pierette et Pierrot	Arrivée de Pierette et Pierrot	0	1900	\N	\N	Short
As Seen Through a Telescope	As Seen Through a Telescope	0	1900	\N	1	Comedy,Short
Attack on a China Mission	Attack on a China Mission	0	1900	\N	4	Drama,Short,War
Avenue de l'opéra	Avenue de l'opéra	0	1900	\N	1	Comedy,Short
Badinage	Badinage	0	1900	\N	\N	Short
